"Genus","Species","Genus","Species","Picture","Photo Title","Photo Caption","Photographer","Suggested Common Name","Photo Locality","Text","Identifier","Description","Known Distribution","Ecology","Size","Depth","Refrerence"
"Aglaophamus","trissophyllus ","Aglaophamus","trissophyllus ","Aglaophamus1.jpg","Aglaophamus trissophyllus    ","None","David Barnes","None","Elephant I. (AP)","Aglaophamustext.doc","Myriam Schuller","Aglaophamus1.txt","Aglaophamus2.txt","Aglaophamus3.txt","Aglaophamus4.txt","Aglaophamus5.txt","Aglaophamus6.txt"
"Ampharetid","sp.","Ampharetid","sp.","Ampharetid1.jpg","Ampharetid sp.","None","David Barnes","None","Livingston I. (AP)","*","Brigitte Hilbig","*","*","*","*","*","*"
"Aphelochaeta","sp.","Aphelochaeta","sp.","Aphelochaeta1.jpg","Aphelochaeta sp.","None","Kathy Conlan (Canadian Museum of Nature)","None","McMurdo Sound","*","Kathy Conlan (Canadian Museum of Nature)","*","*","*","*","*","*"
"Aphrodita","aculeata","Aphrodita","aculeata","Aphrodita1.jpg","Aphrodita aculeata","None","Unknown","None","Unknown","*","Unknown","*","*","*","*","*","*"
"Arenicola","sp.","Arenicola","sp.","Arenicola1.jpg","Arenicola sp.","None","BAS","None","South Georgia","*","Unknown","*","*","*","*","*","*"
"Axiothella ","sp.","Axiothella ","sp.","Axiothella1.jpg","Axiothella sp.","Head","Christine McClelland (Canadian Museum of Nature)","None","McMurdo Sound","*","Kathy Conlan (Canadian Museum of Nature)","*","*","*","*","*","*"
"Barrukia","cristata","Barrukia","cristata","Barrukia1.jpg","Barrukia cristata   ","None","Kathy Conlan (Canadian Museum of Nature)","None","McMurdo Sound","Barrukiatext.doc","Kathy Conlan (Canadian Museum of Nature)","Barrukia1.txt","Barrukia2.txt","Barrukia3.txt","Barrukia4.txt","Barruki5.txt","Barrukia6.txt"
"Barrukia","cristata","Barrukia","cristata","Barrukia2.jpg","Barrukia cristata   ","None","David Barnes","None","Deception I. (AP)","Barrukiatext.doc","Unknown","Barrukia1.txt","Barrukia2.txt","Barrukia3.txt","Barrukia4.txt","Barruki5.txt","Barrukia6.txt"
"Capitella ","perarmata","Capitella ","perarmata","Capitella1.per.jpg","Leitoscoloplos kerguelensis","None","Kathy Conlan (Canadian Museum of Nature)","None","McMurdo Sound","*","Kathy Conlan (Canadian Museum of Nature)","*","*","*","*","*","*"
"Capitella ","sp.","Capitella ","sp.","Capitella1.sp.jpg","Capitella perarmata","None","Kathy Conlan (Canadian Museum of Nature)","None","McMurdo Sound","*","Kathy Conlan (Canadian Museum of Nature)","*","*","*","*","*","*"
"Euchone ","sp.","Euchone ","sp.","Euchone1.jpg ","Euchone sp","None","David Barnes","None","Livingston I. (AP)","*","Brigitte Hilbig","*","*","*","*","*","*"
"Eulagisca","gigantea","Eulagisca","gigantea","Eulagisca1.jpg","Eulagisca gigantea ","None","David Barnes","None","Livingston I. (AP)","*","Myriam Schuller","*","*","*","*","*","*"
"Flabelligera","mudata","Flabelligera","mudata","Flabelligera1.jpg","Flabelligera mundata ","None","Simon Brockington","None","Ryder Bay (WAP)","*","David Barnes","*","*","*","*","*","*"
"Galathowenia ","sp.","Galathowenia ","sp.","Galathowenia1.jpg","Galathowenia scotiae","None","Christine McClelland (Canadian Museum of Nature)","None","McMurdo Sound","*","Kathy Conlan (Canadian Museum of Nature)","*","*","*","*","*","*"
"Hauchiella ","sp.","Hauchiella ","sp.","Hauchiella1.jpg","Hauchiella sp.","None","David Barnes","None","Livingston I. (AP)","*","Brigitte Hilbig","*","*","*","*","*","*"
"Kefersteinia","sp.","Kefersteinia","sp.","Kefersteinia1.jpg","Kefersteinia fauveli","None","Kathy Conlan (Canadian Museum of Nature)","None","McMurdo Sound","*","Kathy Conlan (Canadian Museum of Nature)","*","*","*","*","*","*"
"Laetmonice","producta","Laetmonice","producta","Laetmonice1.jpg","Laetmonice producta ","None","David Barnes","None","Elephant I. (AP)","*","Myriam Schuller","*","*","*","*","*","*"
"Leitoscoloplos ","sp.","Leitoscoloplos ","sp.","Leitoscoloplos1.jpg","Leitoscoloplos kerguelensis","None","Kathy Conlan (Canadian Museum of Nature)","None","McMurdo Sound","*","Kathy Conlan (Canadian Museum of Nature)","*","*","*","*","*","*"
"Genus","Species","Genus","Species","Picture","Photo Title","Photo Caption","Photographer","Suggested Common Name","Photo Locality","Text","Identifier","Description","Known Distribution","Ecology","Size","Depth","Refrerence"
"Nephtys","sp.","Nephtys","sp.","Nephtys1.jpg","Nephtys.sp.","None","Christine McClelland (Canadian Museum of Nature)","None","McMurdo Sound","*","Kathy Conlan (Canadian Museum of Nature)","*","*","*","*","*","*"
"Ophelina","breviata","Ophelina","breviata","Ophelina1.jpg","Ophelina breviata","None","Canadian Musuem of Nature","None","McMurdo Sound","*","Kathy Conlan","*","*","*","*","*","*"
"Paralaeospira","levinsen","Paralaeospira","levinsen","Paralaeospira1.jpg","Paralaeospira levinsen","None","David Barnes","None","Falkland Is.","*","David Barnes","*","*","*","*","*","*"
"Perkinsiana","antarctica ","Perkinsiana","antarctica ","Perkinsiana1.jpg","Perkinsiana antarctica ","None","David Barnes","None","Signy I., South orkney Is.","*","Unknown","*","*","*","*","*","*"
"Phyllodocidae ","sp.","Phyllodocidae ","sp.","Phyllodocidae1.jpg ","Phyllodocidae sp.","None","David Barnes","None","Powell Basin, South orkney Is.","*","Myriam Schuller","*","*","*","*","*","*"
"Polychaeta","sp.","Polychaeta","sp.","Polychaeta1.jpg","Polychaeta","None","*","None","*","Polychaetatext.doc","Unknown","Polychaeta1.txt","Polychaeta2.txt","Polychaeta3.txt","*","*","Polychaeta6.txt"
"Polyeunoa","laevis","Polyeunoa","laevis","Polyeunoa1.jpg","Polyeunoa laevis ","None","David Barnes","None","Livingston I. (AP)","*","Brigitte Hilbig","*","*","*","*","*","*"
"Polygordius","sp.","Polygordius","sp.","Polygordius1.jpg","Polygordius sp.","None","Kathy Conlan (Canadian Museum of Nature)","None","McMurdo Sound","*","Kathy Conlan (Canadian Museum of Nature)","*","*","*","*","*","*"
"Polygordius","sp.","Polygordius","sp.","Polygordius2.jpg","Polygordius sp.","Body","Kathy Conlan (Canadian Museum of Nature)","None","McMurdo Sound","*","Kathy Conlan (Canadian Museum of Nature)","*","*","*","*","*","*"
"Polynoidae ","sp.","Polynoidae ","sp.","Polynoidae1.jpg ","Polynoidae sp.","Dorsal","David Barnes","None","Elephant I. (AP)","*","Myriam Schuller","*","*","*","*","*","*"
"Polynoidae ","sp.","Polynoidae ","sp.","Polynoidae2.jpg","Polynoidae sp.","Ventral","David Barnes","None","Powell Basin, South orkney Is.","*","Myriam Schuller","*","*","*","*","*","*"
"Potamilla","antarctica","Potamilla","antarctica","Potamilla2.jpg","Potamilla antarctica","None","Rick Price","None","Ryder Bay (WAP)","*","Unknown","*","*","*","*","*","*"
"Potamilla","antarctica","Potamilla","antarctica","Potamilla3.jpg","Potamilla antarctica","None","Rick Price","None","Ryder Bay (WAP)","*","Unknown","*","*","*","*","*","*"
"Protoaeospira","stalagmia","Protoaeospira","stalagmia","Protoaeospira1.jpg","Protoaeospira stalagmia","None","David Barnes","None","Falkland Is.","*","David Barnes","*","*","*","*","*","*"
"Psamathe ","sp.","Psamathe ","sp.","Psamathe1.jpg","Psamathe sp.","None","David Barnes","None","Ryder Bay (WAP)","*","Unknown","*","*","*","*","*","*"
"Romanchella","scoresbyi","Romanchella","scoresbyi","Romanchella1.sco.jpg","Romanchella scoresbyi ","None","David Barnes","None","Falkland Is.","*","David Barnes","*","*","*","*","*","*"
"Romanchella","perrieri","Romanchella","perrieri","Romanchella1.per.jpg","Romanchella perrieri ","None","David Barnes","None","Falkland Is.","*","David Barnes","*","*","*","*","*","*"
"Serpula","narcoensis","Serpula","narcoensis","Serpula1.jpg","Serpula narconensis ","None","BAS","None","South Georgia","*","Unknown","*","*","*","*","*","*"
"Genus","Species","Genus","Species","Picture","Photo Title","Photo Caption","Photographer","Suggested Common Name","Photo Locality","Text","Identifier","Description","Known Distribution","Ecology","Size","Depth","Refrerence"
"Serpula","narcoensis","Serpula","narcoensis","Serpula2.jpg","Serpula narconensis ","None","BAS","None","South Georgia","*","Unknown","*","*","*","*","*","*"
"Spirorbid","sp.","Spirorbid","sp.","Spirorbid1.jpg","Spirorbid sp.","None","Unknown","None","Unknown","*","David Barnes","*","*","*","*","*","*"
"Spiophanes","tcherniari","Spiophanes","tcherniari","Spiophanes1.tch.jpg","Spiophanes tcherniae","None","Kathy Conlan (Canadian Museum of Nature)","None","McMurdo Sound","*","Kathy Conlan (Canadian Museum of Nature)","*","*","*","*","*","*"
"Spiophanes ","sp.","Spiophanes ","sp.","Spiophanes1.jpg","Spiophanes sp.","Head","Kathy Conlan (Canadian Museum of Nature)","None","McMurdo Sound","*","Kathy Conlan (Canadian Museum of Nature)","*","*","*","*","*","*"
"Spiophanes ","sp.","Spiophanes ","sp.","Spiophanes2.jpg","Spiophanes sp.","Whole Body","Kathy Conlan (Canadian Museum of Nature)","None","McMurdo Sound","*","Kathy Conlan (Canadian Museum of Nature)","*","*","*","*","*","*"
"Spirorbidae ","sp.","Spirorbidae ","sp.","Spirorbidae1.jpg","Spirorbidae sp.","None","Pete Bucktrout","None","Signy I., South orkney Is.","*","David Barnes","*","*","*","*","*","*"
"Terrebellidae","sp.","Terrebellidae","sp.","Terrebellidae1.jpg","Terrebellidae sp.","None","David Barnes","None","Signy I., South orkney Is.","*","David Barnes","*","*","*","*","*","*"
"Thelepus","cincinnatus","Thelepus","cincinnatus","Thelepus1.jpg","Thelepus cincinnatus","None","Kathy Conlan (Canadian Museum of Nature)","None","McMurdo Sound","*","Kathy Conlan (Canadian Museum of Nature)","*","*","*","*","*","*"
"Tomopteris","sp.","Tomopteris","sp.","Tomopteris1.jpg","Tomopteris sp.","None","Chris Gilbert","None","South Georgia","*","Unknown","*","*","*","*","*","*"
"Travisia","sp.","Travisia","sp.","Travisia1.jpg","Travisia sp.","None","David Barnes","None","Livingston I. (AP)","*","Brigitte Hilbig","*","*","*","*","*","*"
"Vermiliopsis","notalis","Vermiliopsis","notalis","Vermiliopsis1.jpg","Vermiliopsis notalis","None","David Barnes","None","Shag Rocks, Scotia arc","*","David Barnes","*","*","*","*","*","*"
